uri;code;name;gisco_id;lau_id;lau_name;WKT_GEOMETRY
https://w3id.org/launuts/lau/2021/ES#28001;ES_28001;Acebeda (La);ES_28001;28001;Acebeda (La);MULTIPOLYGON (((-403864.774900001 5022496.6485,-404553.4529 5022744.1198,-405540.689800002 5023242.1823,-406100.626899999 5023271.6416,-406606.017299999 5023467.5223,-407047.2322 5023798.0845,-408227.218800001 5024343.8285,-409033.672800001 5024885.9847,-409200.5964 5025130.9323,-406507.816399999 5028221.4652,-405744.738400001 5030241.6818,-403974.756099999 5029825.0721,-400708.1994 5026525.4126,-401442.538400002 5025512.7352,-401349.008099999 5023959.2025,-401742.5801 5023604.4861,-402560.228100002 5023892.3536,-402522.540100001 5022645.4849,-402933.587299999 5022665.7139,-403569.9452 5022791.8134,-403864.774900001 5022496.6485)))
https://w3id.org/launuts/lau/2021/ES#28002;ES_28002;Ajalvir;ES_28002;28002;Ajalvir;MULTIPOLYGON (((-387483.276900001 4947969.0483,-387652.347600002 4947182.3708,-387395.003800001 4945882.3477,-386209.149799999 4944511.3703,-386252.0856 4943786.1808,-385331.092999998 4942648.4359,-385371.807399999 4940601.6797,-382925.5634 4940766.2164,-382375.4934 4940167.6371,-382550.265000001 4940034.7671,-383136.195099998 4939785.4303,-383431.470100001 4939744.8753,-384348.241799999 4939250.7611,-384824.967500001 4938759.5265,-385664.483399998 4938184.7305,-386001.670200001 4937865.6905,-386745.506999999 4938092.0695,-387330.8805 4938076.6261,-390960.6752 4944521.4226,-389984.195599999 4945166.9271,-389708.099399999 4946618.7661,-388472.019000001 4947027.7542,-387483.276900001 4947969.0483)))
https://w3id.org/launuts/lau/2021/ES#28003;ES_28003;Alameda del Valle;ES_28003;28003;Alameda del Valle;MULTIPOLYGON (((-433050.686000001 5007741.3492,-432675.594900001 5008081.3287,-432295.7172 5008093.271,-431989.8112 5008326.3691,-429074.548599999 5004570.0693,-427376.8015 5001346.0258,-426374.1208 5000383.1997,-426079.2432 4999290.8064,-424098.681499999 4996572.8214,-423968.462699998 4995860.1422,-425155.963300001 4991786.9484,-425816.234999999 4991751.0308,-427162.046999998 4994335.7717,-426934.386500001 4995968.5281,-427965.315099999 4999200.1925,-430813.628199998 5002336.0128,-432143.750399999 5002965.737,-433977.3651 5006264.8022,-433591.5317 5007251.1567,-433050.686000001 5007741.3492)))
https://w3id.org/launuts/lau/2021/ES#28004;ES_28004;Álamo;ES_28004;28004;Alamo (El);MULTIPOLYGON (((-440031.085999999 4896913.643,-444337.937100001 4896552.4452,-446237.038899999 4897999.727,-448063.0735 4900222.463,-448202.870099999 4901349.4156,-447934.324499998 4902182.467,-445565.951000001 4903213.2021,-442551.940200001 4902595.3511,-442167.3638 4902199.7466,-441695.921100002 4900324.7523,-441004.926399998 4899430.3848,-439308.900800001 4898634.1278,-440031.085999999 4896913.643)))
https://w3id.org/launuts/lau/2021/ES#28005;ES_28005;Alcal� de Henares;ES_28005;28005;Alcalá de Henares;MULTIPOLYGON (((-380229.643199999 4945512.8434,-380337.424199998 4944491.8697,-380067.674699999 4943981.1276,-378851.248599999 4942781.7276,-377495.746199999 4942506.2484,-375803.460200001 4943048.1273,-374792.0482 4942945.8713,-374153.770599999 4942365.5145,-373236.788800001 4942781.3137,-372907.1028 4943495.6828,-371662.874499999 4943215.7377,-369843.674800001 4942076.0162,-367794.761100002 4943637.3301,-366892.8686 4943081.869,-366224.371100001 4943518.3115,-365684.278200001 4941524.8429,-368251.004799999 4940310.2286,-368228.105500001 4938936.6611,-367199.919500001 4938046.1053,-366015.088500001 4937063.8417,-367440.719000001 4936005.4581,-368522.9593 4936119.1009,-369724.367199998 4934762.9275,-371280.7423 4932694.6314,-373570.173 4931548.2026,-375107.185899999 4932215.6927,-376664.263500001 4932031.0619,-377495.746199999 4932853.481,-379441.2786 4932052.6901,-380113.239100002 4932392.2328,-381456.662300002 4932012.6059,-382240.564199999 4932077.0859,-383722.681899998 4931007.407,-382075.9419 4933132.2273,-382142.547899999 4933939.9241,-381463.3851 4934887.9092,-381870.870700002 4937221.0288,-381688.707800001 4940461.8608,-381738.064399999 4943127.0049,-382511.708799999 4943386.9133,-382691.9166 4944306.7552,-382059.363000002 4945178.1915,-380229.643199999 4945512.8434)))
https://w3id.org/launuts/lau/2021/ES#28006;ES_28006;Alcobendas;ES_28006;28006;Alcobendas;MULTIPOLYGON (((-395640.824900001 4940523.2836,-397599.392099999 4940626.917,-399965.723900001 4939146.4682,-400680.319600001 4939069.4921,-402433.759399999 4940377.3558,-405392.749000002 4940004.8424,-407195.188099999 4940708.1787,-408182.544599999 4942370.3613,-409186.606899999 4942780.3385,-408586.254099999 4943990.3366,-409351.8726 4945115.2033,-410179.2062 4947382.8216,-410724.2062 4948876.885,-411635.551899999 4950176.3778,-410179.2062 4951113.1404,-408986.083700001 4951880.6571,-406844.869100001 4947147.9084,-405363.879099999 4946772.2533,-403558.697299998 4944810.8901,-395541.637400001 4943595.0444,-395849.625599999 4943112.5417,-395347.580699999 4942242.6962,-395640.824900001 4940523.2836)))
https://w3id.org/launuts/lau/2021/ES#28007;ES_28007;Alcorc�n;ES_28007;28007;Alcorcón;MULTIPOLYGON (((-430891.421799999 4917384.2709,-430923.8851 4918230.4336,-431732.632399999 4919963.3717,-430546.5944 4920469.2153,-430521.1732 4920973.1934,-428042.143800002 4922948.1006,-427697.665600002 4923607.0027,-427577.3292 4923992.016,-427205.689100001 4924669.407,-426560.620499998 4924352.2562,-426799.094700001 4923658.6,-424184.009500001 4919119.9378,-421634.2599 4918199.113,-423042.359499998 4917744.6914,-422952.125999998 4917371.3318,-423468.388 4916516.9597,-423346.305799998 4915500.4854,-425017.760200001 4913685.6792,-427387.972399998 4913200.8243,-428400.4256 4913378.8948,-429015.747400001 4914454.5897,-429575.523499999 4914754.8901,-429642.675299998 4915920.4766,-430891.421799999 4917384.2709)))
https://w3id.org/launuts/lau/2021/ES#28008;ES_28008;Aldea del Fresno;ES_28008;28008;Aldea del Fresno;MULTIPOLYGON (((-478101.516899999 4912930.7819,-477130.012800001 4913818.475,-475166.980999999 4914307.9935,-473371.4399 4913445.2781,-473165.855799999 4913346.5047,-471578.361699998 4913496.3654,-471038.684799999 4914604.1913,-469184.670899998 4915296.7309,-468743.495200001 4916855.16,-466183.151299998 4915154.4634,-464148.063999999 4912313.5466,-463820.480999999 4910871.3762,-463908.6798 4908295.736,-464460.3708 4907891.3154,-466668.863000002 4909109.5118,-467940.482500002 4907631.6504,-468120.0623 4905184.9787,-468716.004799999 4905069.8366,-469566.3321 4905572.9906,-470439.229400001 4905234.7848,-471027.497200001 4906223.0573,-473371.4399 4907578.3617,-475438.5244 4909440.72,-476691.403999999 4911468.0936,-478101.516899999 4912930.7819)))
https://w3id.org/launuts/lau/2021/ES#28009;ES_28009;Algete;ES_28009;28009;Algete;MULTIPOLYGON (((-385825.451400001 4952849.0723,-388052.790800001 4951466.2384,-391506.887499999 4950774.3401,-392457.285100002 4950764.6254,-393320.455499999 4951234.329,-394052.128800001 4950935.1298,-395033.343499999 4951540.5936,-395541.637400001 4951489.9972,-396195.7903 4951558.6167,-396864.361299999 4953146.4991,-397900.866799999 4953641.0188,-398150.511 4954410.4054,-397858.794 4956110.2654,-398477.050900001 4956503.1178,-399014.195099998 4957526.5488,-399609.277399998 4959033.3822,-399818.868000001 4960724.5544,-399895.455800001 4961207.6468,-400029.428800002 4961551.805,-399222.642999999 4961473.9643,-398805.457199998 4960186.3877,-397272.3814 4960007.4024,-396932.550500002 4960792.204,-396189.629999999 4960926.4452,-396263.5528 4960092.0065,-395889.982299998 4959100.3415,-396492.663800001 4959015.3029,-396641.342099998 4958183.6106,-396158.0594 4955421.6219,-395541.637400001 4955171.5488,-393802.0898 4955786.4933,-392466.404800002 4955607.533,-391506.887499999 4955965.5687,-390183.587900002 4956459.368,-389861.559300002 4957218.4698,-388561.350499999 4957188.6921,-388068.190400001 4957169.3926,-388107.957199998 4956237.4163,-386808.4267 4954314.5399,-384469.3574 4954579.8802,-385825.451400001 4952849.0723)))
https://w3id.org/launuts/lau/2021/ES#28010;ES_28010;Alpedrete;ES_28010;28010;Alpedrete;MULTIPOLYGON (((-448158.855900001 4958316.1977,-448655.619199999 4959249.5279,-448619.2733 4959576.9664,-449244.1653 4960193.2171,-449374.4091 4960475.5713,-450482.706 4961742.194,-450565.8616 4962266.2048,-450275.596099999 4962684.9494,-446842.7258 4965509.6359,-445477.4439 4965811.1707,-444732.942899998 4965411.0793,-444949.9122 4963074.6937,-446006.727400001 4962501.2942,-446537.678399999 4961135.578,-447523.565200001 4960192.8025,-447351.649999999 4959102.942,-448158.855900001 4958316.1977)))
