Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion
Municipios;1548;Torres de la Alameda;37.051
Municipios;9036;Tres Cantos;24.566
Municipios;1551;Valdaracete;58.985
Municipios;1564;Valdeavero;47.888
Municipios;1570;Valdelaguna;50.708
Municipios;1586;Valdemanco;65.264
Municipios;1599;Valdemaqueda;80.311
Municipios;1603;Valdemorillo;49.031
Municipios;1610;Valdemoro;28.750
Municipios;1625;Valdeolmos-Alalpardo;37.129
Municipios;1631;Valdepiélagos;51.502
Municipios;1646;Valdetorres de Jarama;41.951
Municipios;1659;Valdilecha;45.871
Municipios;1662;Valverde de Alcalá;42.548
Municipios;1678;Velilla de San Antonio;21.480
Municipios;1684;Vellón (El);48.389
Municipios;1697;Venturada;52.667
Municipios;1718;Villa del Prado;66.911
Municipios;1701;Villaconejos;55.549
Municipios;1723;Villalbilla;39.662
Municipios;1739;Villamanrique de Tajo;64.302
Municipios;1744;Villamanta;47.225
Municipios;1757;Villamantilla;53.900
Municipios;1782;Villanueva de Perales;50.249
Municipios;1760;Villanueva de la Cañada;43.204
Municipios;1776;Villanueva del Pardillo;28.830
Municipios;1795;Villar del Olmo;48.941
Municipios;1809;Villarejo de Salvanés;50.672
Municipios;1816;Villaviciosa de Odón;26.157
Municipios;1821;Villavieja del Lozoya;80.015
Municipios;1837;Zarzalejo;65.280
