Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion
Municipios;1454;Talamanca de Jarama;4114
Municipios;1467;Tielmes;2768
Municipios;1473;Titulcia;1367
Municipios;1489;Torrejón de Ardoz;133377
Municipios;1505;Torrejón de Velasco;4586
Municipios;1492;Torrejón de la Calzada;9537
Municipios;1512;Torrelaguna;4902
Municipios;1527;Torrelodones;24057
Municipios;1533;Torremocha de Jarama;1065
Municipios;1548;Torres de la Alameda;7707
Municipios;9036;Tres Cantos;48726
Municipios;1551;Valdaracete;614
Municipios;1564;Valdeavero;1670
Municipios;1570;Valdelaguna;1023
Municipios;1586;Valdemanco;1022
Municipios;1599;Valdemaqueda;792
Municipios;1603;Valdemorillo;13254
Municipios;1610;Valdemoro;77931
Municipios;1625;Valdeolmos-Alalpardo;4306
Municipios;1631;Valdepiélagos;619
Municipios;1646;Valdetorres de Jarama;4705
Municipios;1659;Valdilecha;3065
Municipios;1662;Valverde de Alcalá;515
Municipios;1678;Velilla de San Antonio;12542
Municipios;1684;Vellón (El);2086
Municipios;1697;Venturada;2392
Municipios;1718;Villa del Prado;6775
Municipios;1701;Villaconejos;3438
Municipios;1723;Villalbilla;15046
Municipios;1739;Villamanrique de Tajo;768
Municipios;1744;Villamanta;2648
Municipios;1757;Villamantilla;1515
Municipios;1782;Villanueva de Perales;1608
Municipios;1760;Villanueva de la Cañada;22453
Municipios;1776;Villanueva del Pardillo;17266
Municipios;1795;Villar del Olmo;2192
Municipios;1809;Villarejo de Salvanés;7546
Municipios;1816;Villaviciosa de Odón;28016
Municipios;1821;Villavieja del Lozoya;280
Municipios;1837;Zarzalejo;1771
