;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster
141;Municipios;1322;San Martín de la Vega;192.73;0
142;Municipios;1343;San Sebastián de los Reyes;1559.52;2
143;Municipios;1356;Santa María de la Alameda;20.01;0
144;Municipios;1369;Santorcaz;33.46;0
145;Municipios;1375;Santos de la Humosa (Los);79.38;0
146;Municipios;1381;Serna del Monte (La);19.2;0
147;Municipios;1408;Serranillos del Valle;353.83;0
148;Municipios;1415;Sevilla la Nueva;386.54;0
149;Municipios;1436;Somosierra;4.16;0
150;Municipios;1441;Soto del Real;219.39;0
151;Municipios;1454;Talamanca de Jarama;113.55;0
152;Municipios;1467;Tielmes;102.71;0
153;Municipios;1473;Titulcia;134.71;0
154;Municipios;1489;Torrejón de Ardoz;4266.66;1
155;Municipios;1505;Torrejón de Velasco;90.86;0
156;Municipios;1492;Torrejón de la Calzada;1137.12;2
157;Municipios;1512;Torrelaguna;114.74;0
158;Municipios;1527;Torrelodones;1157.43;2
159;Municipios;1533;Torremocha de Jarama;60.47;0
160;Municipios;1548;Torres de la Alameda;177.86;0
161;Municipios;9036;Tres Cantos;1352.85;2
162;Municipios;1551;Valdaracete;10.07;0
163;Municipios;1564;Valdeavero;94.71;0
164;Municipios;1570;Valdelaguna;24.69;0
165;Municipios;1586;Valdemanco;60.28;0
166;Municipios;1599;Valdemaqueda;15.83;0
167;Municipios;1603;Valdemorillo;145.24;0
168;Municipios;1610;Valdemoro;1270.53;2
169;Municipios;1625;Valdeolmos-Alalpardo;175.3;0
170;Municipios;1631;Valdepiélagos;35.54;0
171;Municipios;1646;Valdetorres de Jarama;142.44;0
172;Municipios;1659;Valdilecha;75.06;0
173;Municipios;1662;Valverde de Alcalá;38.98;0
174;Municipios;1678;Velilla de San Antonio;930.46;2
175;Municipios;1684;Vellón (El);65.68;0
176;Municipios;1697;Venturada;250.73;0
177;Municipios;1718;Villa del Prado;93.82;0
178;Municipios;1701;Villaconejos;104.9;0
179;Municipios;1723;Villalbilla;483.87;0
180;Municipios;1739;Villamanrique de Tajo;27.19;0
181;Municipios;1744;Villamanta;43.98;0
182;Municipios;1757;Villamantilla;66.17;0
183;Municipios;1782;Villanueva de Perales;54.5;0
184;Municipios;1760;Villanueva de la Cañada;674.76;2
185;Municipios;1776;Villanueva del Pardillo;694.38;2
186;Municipios;1795;Villar del Olmo;81.15;0
187;Municipios;1809;Villarejo de Salvanés;64.79;0
188;Municipios;1816;Villaviciosa de Odón;420.84;0
189;Municipios;1821;Villavieja del Lozoya;13.6;0
190;Municipios;1837;Zarzalejo;89.3;0
