;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster
121;Municipios;1147;Piñuécar-Gandullas;184;0
122;Municipios;1150;Pozuelo de Alarcón;87080;2
123;Municipios;1163;Pozuelo del Rey;1214;0
124;Municipios;1179;Prádena del Rincón;148;0
125;Municipios;1185;Puebla de la Sierra;75;0
126;Municipios;9020;Puentes Viejas;716;0
127;Municipios;1198;Quijorna;3589;0
128;Municipios;1202;Rascafría;1762;0
129;Municipios;1219;Redueña;295;0
130;Municipios;1224;Ribatejada;863;0
131;Municipios;1230;Rivas-Vaciamadrid;93272;2
132;Municipios;1245;Robledillo de la Jara;97;0
133;Municipios;1258;Robledo de Chavela;4485;0
134;Municipios;1261;Robregordo;70;0
135;Municipios;1277;Rozas de Madrid (Las);95294;2
136;Municipios;1283;Rozas de Puerto Real;579;0
137;Municipios;1296;San Agustín del Guadalix;13626;0
138;Municipios;1300;San Fernando de Henares;39286;3
139;Municipios;1317;San Lorenzo de El Escorial;18432;0
140;Municipios;1338;San Martín de Valdeiglesias;8726;0
141;Municipios;1322;San Martín de la Vega;19788;0
142;Municipios;1343;San Sebastián de los Reyes;90958;2
143;Municipios;1356;Santa María de la Alameda;1420;0
144;Municipios;1369;Santorcaz;924;0
145;Municipios;1375;Santos de la Humosa (Los);2742;0
146;Municipios;1381;Serna del Monte (La);95;0
147;Municipios;1408;Serranillos del Valle;4436;0
148;Municipios;1415;Sevilla la Nueva;9387;0
149;Municipios;1436;Somosierra;87;0
150;Municipios;1441;Soto del Real;9075;0
151;Municipios;1454;Talamanca de Jarama;4114;0
152;Municipios;1467;Tielmes;2768;0
153;Municipios;1473;Titulcia;1367;0
154;Municipios;1489;Torrejón de Ardoz;133377;2
155;Municipios;1505;Torrejón de Velasco;4586;0
156;Municipios;1492;Torrejón de la Calzada;9537;0
157;Municipios;1512;Torrelaguna;4902;0
158;Municipios;1527;Torrelodones;24057;3
159;Municipios;1533;Torremocha de Jarama;1065;0
160;Municipios;1548;Torres de la Alameda;7707;0
161;Municipios;9036;Tres Cantos;48726;3
162;Municipios;1551;Valdaracete;614;0
163;Municipios;1564;Valdeavero;1670;0
164;Municipios;1570;Valdelaguna;1023;0
165;Municipios;1586;Valdemanco;1022;0
166;Municipios;1599;Valdemaqueda;792;0
167;Municipios;1603;Valdemorillo;13254;0
168;Municipios;1610;Valdemoro;77931;2
169;Municipios;1625;Valdeolmos-Alalpardo;4306;0
170;Municipios;1631;Valdepiélagos;619;0
171;Municipios;1646;Valdetorres de Jarama;4705;0
172;Municipios;1659;Valdilecha;3065;0
173;Municipios;1662;Valverde de Alcalá;515;0
174;Municipios;1678;Velilla de San Antonio;12542;0
175;Municipios;1684;Vellón (El);2086;0
176;Municipios;1697;Venturada;2392;0
177;Municipios;1718;Villa del Prado;6775;0
178;Municipios;1701;Villaconejos;3438;0
179;Municipios;1723;Villalbilla;15046;0
180;Municipios;1739;Villamanrique de Tajo;768;0
181;Municipios;1744;Villamanta;2648;0
182;Municipios;1757;Villamantilla;1515;0
183;Municipios;1782;Villanueva de Perales;1608;0
184;Municipios;1760;Villanueva de la Cañada;22453;3
185;Municipios;1776;Villanueva del Pardillo;17266;0
186;Municipios;1795;Villar del Olmo;2192;0
187;Municipios;1809;Villarejo de Salvanés;7546;0
188;Municipios;1816;Villaviciosa de Odón;28016;3
189;Municipios;1821;Villavieja del Lozoya;280;0
190;Municipios;1837;Zarzalejo;1771;0
