;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster
130;Municipios;1343;San Sebastián de los Reyes;20.284;2
131;Municipios;1356;Santa María de la Alameda;70.111;0
132;Municipios;1369;Santorcaz;45.724;3
133;Municipios;1375;Santos de la Humosa (Los);46.496;3
134;Municipios;1381;Serna del Monte (La);80.844;1
135;Municipios;1408;Serranillos del Valle;35.694;3
136;Municipios;1415;Sevilla la Nueva;42.875;3
137;Municipios;1436;Somosierra;93.268;1
138;Municipios;1441;Soto del Real;44.268;3
139;Municipios;1454;Talamanca de Jarama;47.636;3
140;Municipios;1467;Tielmes;45.405;3
141;Municipios;1473;Titulcia;40.449;3
142;Municipios;1489;Torrejón de Ardoz;22.712;2
143;Municipios;1505;Torrejón de Velasco;29.513;2
144;Municipios;1492;Torrejón de la Calzada;27.728;2
145;Municipios;1512;Torrelaguna;60.357;0
146;Municipios;1527;Torrelodones;30.262;2
147;Municipios;1533;Torremocha de Jarama;64.681;0
148;Municipios;1548;Torres de la Alameda;37.051;3
149;Municipios;9036;Tres Cantos;24.566;2
150;Municipios;1551;Valdaracete;58.985;0
151;Municipios;1564;Valdeavero;47.888;3
152;Municipios;1570;Valdelaguna;50.708;0
153;Municipios;1586;Valdemanco;65.264;0
154;Municipios;1599;Valdemaqueda;80.311;1
155;Municipios;1603;Valdemorillo;49.031;3
156;Municipios;1610;Valdemoro;28.75;2
157;Municipios;1625;Valdeolmos-Alalpardo;37.129;3
158;Municipios;1631;Valdepiélagos;51.502;0
159;Municipios;1646;Valdetorres de Jarama;41.951;3
160;Municipios;1659;Valdilecha;45.871;3
161;Municipios;1662;Valverde de Alcalá;42.548;3
162;Municipios;1678;Velilla de San Antonio;21.48;2
163;Municipios;1684;Vellón (El);48.389;3
164;Municipios;1697;Venturada;52.667;0
165;Municipios;1718;Villa del Prado;66.911;0
166;Municipios;1701;Villaconejos;55.549;0
167;Municipios;1723;Villalbilla;39.662;3
168;Municipios;1739;Villamanrique de Tajo;64.302;0
169;Municipios;1744;Villamanta;47.225;3
170;Municipios;1757;Villamantilla;53.9;0
171;Municipios;1782;Villanueva de Perales;50.249;0
172;Municipios;1760;Villanueva de la Cañada;43.204;3
173;Municipios;1776;Villanueva del Pardillo;28.83;2
174;Municipios;1795;Villar del Olmo;48.941;3
175;Municipios;1809;Villarejo de Salvanés;50.672;0
176;Municipios;1816;Villaviciosa de Odón;26.157;2
177;Municipios;1821;Villavieja del Lozoya;80.015;1
178;Municipios;1837;Zarzalejo;65.28;0
