;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster
172;Municipios;1659;Valdilecha;3065;2
173;Municipios;1662;Valverde de Alcalá;515;2
174;Municipios;1678;Velilla de San Antonio;12542;3
175;Municipios;1684;Vellón (El);2086;2
176;Municipios;1697;Venturada;2392;2
177;Municipios;1718;Villa del Prado;6775;0
178;Municipios;1701;Villaconejos;3438;2
179;Municipios;1723;Villalbilla;15046;3
180;Municipios;1739;Villamanrique de Tajo;768;2
181;Municipios;1744;Villamanta;2648;2
182;Municipios;1757;Villamantilla;1515;2
183;Municipios;1782;Villanueva de Perales;1608;2
184;Municipios;1760;Villanueva de la Cañada;22453;1
185;Municipios;1776;Villanueva del Pardillo;17266;3
186;Municipios;1795;Villar del Olmo;2192;2
187;Municipios;1809;Villarejo de Salvanés;7546;0
188;Municipios;1816;Villaviciosa de Odón;28016;1
189;Municipios;1821;Villavieja del Lozoya;280;2
190;Municipios;1837;Zarzalejo;1771;2
