;Unnamed: 0;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster;Variacion;Variacion_Porcentaje
75;101;Municipios;915;Morata de Tajuña;7908;0;1.071094797578253;107.1094797578253
76;103;Municipios;936;Navacerrada;3232;2;2.3695969190857165;236.95969190857164
77;104;Municipios;941;Navalafuente;1586;2;1.162803438635503;116.2803438635503
78;105;Municipios;954;Navalagamella;2711;2;1.987616722661317;198.7616722661317
79;106;Municipios;967;Navalcarnero;30696;1;1.1109752762719771;111.0975276271977
80;107;Municipios;973;Navarredonda y San Mamés;141;2;0.10337659826456869;10.337659826456868
81;108;Municipios;992;Navas del Rey;3058;2;2.242025797823057;224.2025797823057
82;109;Municipios;1006;Nuevo Baztán;6678;0;0.904498110549769;90.4498110549769
83;110;Municipios;1013;Olmeda de las Fuentes;365;2;0.26760608770615296;26.760608770615296
84;111;Municipios;1028;Orusco de Tajuña;1291;2;0.9465190663798452;94.65190663798452
85;112;Municipios;1049;Paracuellos de Jarama;26293;1;0.9516182218862097;95.16182218862097
86;114;Municipios;1071;Patones;523;2;0.3834465311515562;38.344653115155616
87;115;Municipios;1087;Pedrezuela;6168;0;0.8354214354403976;83.54214354403976
88;116;Municipios;1090;Pelayos de la Presa;2814;2;2.0631329611099027;206.31329611099028
89;117;Municipios;1104;Perales de Tajuña;3037;2;2.2266292831879086;222.66292831879088
90;118;Municipios;1111;Pezuela de las Torres;925;2;0.6781798113101137;67.81798113101138
91;119;Municipios;1126;Pinilla del Valle;196;2;0.14370080326138626;14.370080326138627
92;121;Municipios;1147;Piñuécar-Gandullas;184;2;0.13490279489844426;13.490279489844426
93;123;Municipios;1163;Pozuelo del Rey;1214;2;0.8900651793843006;89.00651793843006
94;124;Municipios;1179;Prádena del Rincón;148;2;0.1085087698096182;10.85087698096182
95;125;Municipios;1185;Puebla de la Sierra;75;2;0.0549875522683876;5.49875522683876
96;126;Municipios;9020;Puentes Viejas;716;2;0.524947832322207;52.4947832322207
